"Horodateur","Quel(s) problème(s) rencontrez-vous pour évacuer vos ordures ménagères","A quelle point le klaxon des voitures de ramassage d'ordure vous dérangent-ils","À quelle fréquence passe les camions de ramassage d'ordures"," Quelle est la fréquence d'évacuation de vos ordures","Existe-t-il un point de collecte d'ordures dans votre localité (quartier)","Quelle est votre réaction en voyant une personne jetée des ordures par terre?","Triez-vous vos ordures (plastique - papiers - autres) ","Etes-vous pour un bac à ordures(poubelle modernisé) bien adapté ","Êtes-vous pour un système d'alerte pour sortir vos ordures"
"2023/08/10 11:15:03 PM UTC+3","Il n'y a pas de point collecte ou de dépôt des ordures dans notre zone","C'est vraiment insupportable","","Une fois que la poubelle est pleine","NON","Je continue mon chemin","NON","NON","OUI"
"2023/08/11 12:28:55 AM UTC+3","Les voitures ne passent pas souvent;Il n'y a pas de point collecte ou de dépôt des ordures dans notre zone","Ça ne me dérange pas","Chaque deux(2) jours","Chaque deux(2) jours","NON","Je continue mon chemin","OUI","OUI","OUI"
"2023/08/11 12:41:10 AM UTC+3","Les voitures ne passent pas souvent","Ça ne me dérange pas","1 fois par semaine ","Une fois que la poubelle est pleine","NON","Je continue mon chemin","NON","OUI","OUI"
"2023/08/11 1:53:00 PM UTC+3","Les voitures ne passent pas souvent","Ça me dérange un peu","","Chaque trois(3) jours","NON","Je continue mon chemin","NON","OUI","OUI"
"2023/08/11 10:06:34 PM UTC+3","On oublie souvent de sort les ordures","Ça me dérange trop","Chaque deux(2) jours","Une fois que la poubelle est pleine","OUI","Je continue mon chemin","NON","OUI","OUI"
"2023/08/12 3:58:37 PM UTC+3","Les voitures ne passent pas souvent","Ça me dérange un peu","Chaque jour","Chaque  jour","OUI","Je continue mon chemin","NON","OUI","OUI"
"2023/08/13 3:20:32 PM UTC+3","Les voitures ne passent pas souvent","Ça me dérange un peu","Chaque trois(3) jours","Une fois que la poubelle est pleine","NON","Je continue mon chemin","NON","OUI","NON"
"2023/08/13 3:24:02 PM UTC+3","Les voitures ne passent pas souvent","Ça me dérange trop","Chaque deux(2) jours","Chaque  jour","NON","Je la conseille de ne plus faire une chose pareille","NON","OUI","OUI"
"2023/08/13 3:30:13 PM UTC+3","Il n'y a pas de point collecte ou de dépôt des ordures dans notre zone","Ça me dérange trop","Chaque jour","Chaque  jour","NON","Je continue mon chemin","NON","OUI","OUI"
"2023/08/13 3:38:37 PM UTC+3","Il n'y a pas de point collecte ou de dépôt des ordures dans notre zone","Ça me dérange un peu","Chaque deux(2) jours","Chaque deux(2) jours","NON","Je continue mon chemin","NON","NON","NON"
"2023/08/14 12:23:31 AM UTC+3","Il n'y a pas de point collecte ou de dépôt des ordures dans notre zone","C'est vraiment insupportable","Une fois par semaine ","Une fois le véhicule est sur place ","NON","Je continue mon chemin;Toute façon je peux pas arranger une qui ce passe tout les cinq (5) seconde environ.","NON","OUI","OUI"
"2023/08/14 1:10:36 AM UTC+3","On oublie souvent de sort les ordures","C'est vraiment insupportable","Chaque deux(2) jours","Une fois que la poubelle est pleine","NON","Bizarre ","NON","OUI","OUI"
"2023/08/17 1:26:41 PM UTC+3","Les voitures ne passent pas souvent","Ça me dérange un peu","Chaque jour","Chaque  jour","NON","Je la conseille de ne plus faire une chose pareille;Je ramasse les ordures et les mets dans une poubelle","NON","OUI","OUI"
